"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"AGC, MN ET. AL. (HVY-HWY)",1745,"MN","LABORERS  (LIUNA) DISTRICT COUNCIL 0 MINNESOTA-NORTH DAKOTA","Apr 30, 2008","23731","4250","PRIVATE"
"AGC, MN ET. AL. (HVY-HWY)",1746,"MN","LABORERS  (LIUNA) DISTRICT COUNCIL 0 MINNESOTA-NORTH DAKOTA","Apr 30, 2008","23731","4250","PRIVATE"
"AGC, MN, CCA, & MDPA",1178,"MN ST PAUL","CCA CJA RC","Apr 30, 2005","23622","7000","PRIVATE"
"AGC, MN, CCA, & MDPA",1179,"MN ST PAUL","UBC RC","Apr 30, 2007","23622","7000","PRIVATE"
"AGC, MO",1003,"MO","LABORERS  (LIUNA) LOCAL UNION 424","May 1, 2009",,,"PRIVATE"
"AGC, MO",1004,"MO","LABORERS  (LIUNA) DISTRICT COUNCIL 0 EASTERN MO. LABORERS DIST. COUNCIL","Apr 30, 2014","23731","2500","PRIVATE"
"AGC, MO",1008,"MO","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 513","Apr 30, 2009","23731","3000","PRIVATE"
"AGC, MO",1012,"MO","CJA KC & STL DCS","Apr 30, 2010","23731",,"PRIVATE"
"AGC, MO",1013,"MO","CJA -","Apr 30, 2006",,,"PRIVATE"
"AGC, MO",1693,"MO","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 513","May 1, 2009",,,"PRIVATE"
"AGC, MO",1694,"MO","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 513","Apr 30, 2014","23731","3000","PRIVATE"
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1005,"MO","LIUNA DC & 4 LOCALS","Apr 30, 2010","23731","3000","PRIVATE"
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1006,"MO","LABORERS  (LIUNA) LOCAL UNION 319","Apr 30, 2006",,,"PRIVATE"
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1007,"MO","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 101","Apr 30, 2010","23731","3200","PRIVATE"
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1010,"MO","TEAMSTERS (IBT) JOINT COUNCIL 13","Apr 30, 2010","23731","3000","PRIVATE"
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1011,"MO","TEAMSTERS (IBT) JOINT COUNCIL 13","Apr 30, 2006",,,"PRIVATE"
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1018,"MO","TEAMSTERS (IBT) JOINT COUNCIL 56","Apr 30, 2010","23731","3000","PRIVATE"
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1019,"MO","TEAMSTERS (IBT) JOINT COUNCIL 56","Apr 30, 2006",,,"PRIVATE"
"AGC, MO ST. LOUIS",1168,"MO ST. LOUIS","LABORERS  (LIUNA) LOCAL UNION 110","Mar 1, 2009",,,"PRIVATE"
"AGC, MO ST. LOUIS",1360,"MO ST. LOUIS","UBC ","May 5, 2008",,,"PRIVATE"
"AGC, NJ & C.C.L.E, NEW JERSEY",1040,"NJ","BSOIW VARIOUS LOCALS","Jun 30, 2008","23622","2000","PRIVATE"
"AGC, NJ CONSTRUCTION CONTRACTORS",1470,"NJ","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 825","Mar 31, 2008","23622","1000","PRIVATE"
"AGC, NM BUILDING BRANCH",1594,"NM","UBC NM/DC","May 31, 2013","23622","2000","PRIVATE"
"AGC, NM BUILDING BRANCH",1595,"NM","CJA NM DC","May 31, 2010","23622","2000","PRIVATE"
"AGC, NM BUILDING BRANCH",1596,"NM","CJA -",,"23622","2000","PRIVATE"
"AGC, NM BUILDING BRANCH",1597,"NM","CJA -","Oct 1, 2003","23622","2000","PRIVATE"
"AGC, NM BUILDING BRANCH",1598,"NM","LIUNA ","Oct 1, 2003",,,"PRIVATE"
"AGC, NM BUILDING BRANCH",1599,"NM","LABORERS  (LIUNA) LOCAL UNION 16 LOCAL NO.16","May 31, 2013","23622","3000","PRIVATE"
"AGC, NM BUILDING BRANCH",1600,"NM","LABORERS  (LIUNA) LOCAL UNION 16 LOCAL NO.16","May 31, 2010","23622","3000","PRIVATE"
"AGC, NM BUILDING BRANCH",1601,"NM","LABORERS  (LIUNA) LOCAL UNION 16 LOCAL NO.16","May 31, 2012","23622","3000","PRIVATE"
"AGC, NM BUILDING BRANCH",1602,"NM","LABORERS  (LIUNA) LOCAL UNION 16 LOCAL NO.16","May 31, 2012","23622","3000","PRIVATE"
"AGC, NM BUILDING BRANCH",1603,"NM","LABORERS  (LIUNA) LOCAL UNION 16 LOCAL NO.16","May 31, 2007","23622","2000","PRIVATE"
"AGC, NV",108,"NV","LABORERS  (LIUNA) LOCAL UNION 872","Jun 30, 2010",,,"PRIVATE"
"AGC, NV",875,"NV","CJA AFFILIATED LOCALS","Jun 30, 2007","23622","5400","PRIVATE"
"AGC, NV - LAS VEGAS - SOUTHERN NV",1614,"NV","LABORERS  (LIUNA) LOCAL UNION 872","Jun 30, 2010","23622","2000","PRIVATE"
"AGC, NV - NORTHERN CHAPTER",1681,"NV","CARPENTERS IND (CJA) LOCAL UNION 1789/CARPENTERS IND (CJA) LOCAL UNION 2035/CARPENTERS IND (CJA) LOCAL UNION 34/CARPENTERS IND (CJA) LOCAL UNION 971","Jun 30, 2008","23622","2000","PRIVATE"
"AGC, NV - SOUTHERN NEVADA",1641,"NV","TEAMSTERS (IBT) LOCAL UNION 631","Jun 30, 2007","23622","1200","PRIVATE"
"AGC, NY",1768,"NY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 158","Mar 31, 2015","23731","1000","PRIVATE"
"AGC, NY",1769,"NY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 158","Mar 31, 2019","23731","1000","PRIVATE"
"AGC, NY - CENTRAL NY REGION",1239,"NY","LIUNA VARIOUS LOCALS","Mar 31, 2007","23731","1000","PRIVATE"
"AGC, NY - CIC, NY",1744,"NY","IUOE VARIOUS LOCALS","Mar 31, 2008","23731","1000","PRIVATE"
"AGC, NY - STATE CHAPTER",1642,"NY","IUOE -","Mar 31, 2008","23731","1000","PRIVATE"
"AGC, NY - WESTERN NY REGION",1225,"NY","LIUNA VARIOUS LOCALS","Jan 31, 2008","23731","1000","PRIVATE"
"AGC, NY - WESTERN NY STATE CHAPTER",970,"NY","IUOE VARIOUS LOCALS","Jan 31, 2009","23731","1000","PRIVATE"
"AGC, NY - WESTERN NY STATE CHAPTER",971,"NY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 17","Mar 31, 2009",,,"PRIVATE"
"AGC, NY AGC, ROCHESTER REGION NY STATE HWY-HVY",1030,"NY","LIUNA -","Mar 31, 2007","23731","1000","PRIVATE"
"AGC, NY ALBANY REGION NY STATE CHAPTER",973,"NY","IUOE VARIOUS LOCALS","Mar 31, 2008","23731","1000","PRIVATE"
"AGC, NY ALBANY REGION NY STATE CHAPTER",1076,"NY","TEAMSTERS (IBT) LOCAL UNION 294","Mar 31, 2008",,,"PRIVATE"
"AGC, NY ALBANY REGION NY STATE CHAPTER",1725,"NY","LIUNA VARIOUS LOCALS","Mar 31, 2008","23731","1000","PRIVATE"
"AGC, NY CENTRAL NY REG & NY STATE CHAPTER",967,"NY","IUOE VARIOUS LOCALS","Mar 31, 2005","23731","1000","PRIVATE"
"AGC, NY NEW STATE CHAPTER",1521,"NY","IUOE -","Mar 31, 2008","23731","1000","PRIVATE"
"AGC, NY STATE CHAPTER ( LABOR RELATIONS DIVISION) ROCHESTER REGION",921,"NY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 832 ABC","Mar 31, 2008",,,"PRIVATE"
"AGC, NY UTILITY & TRANS. CONSTR. ASSOCIATION",1009,"MO","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 513","Apr 30, 2009","23731","3000","PRIVATE"
"AGC, NY WESTERN NY REG. NY STATE CHAPTER",1479,"NY","CJA VARIOUS LOCALS","Mar 31, 2007","23731","1000","PRIVATE"
"AGC, NY- AGC & CONSTR. INDUSTRY COUNCIL",990,"NY","LIUNA VARIOUS LOCALS","Apr 30, 2008","23731","1000","PRIVATE"
"AGC, OH - WEST CENTRAL OHIO DIVISION",1207,"OH","CARPENTERS IND (CJA) LOCAL UNION 265","May 31, 2007","23622","1000","PRIVATE"
"AGC, OH & SOUTH CENTRAL OHIO",1419,"OH","CJA -","May 31, 2006","23622","1800","PRIVATE"
"AGC, OH BUILDING",1615,"OH","IUOE -","Apr 30, 2007","23622","1300","PRIVATE"
"AGC, OH CENTRAL",1572,"OH","LABORERS  (LIUNA) LOCAL UNION 423","May 31, 2008","23622","1300","PRIVATE"
"AGC, OH CENTRAL",1573,"OH","LABORERS  (LIUNA) LOCAL UNION 423",,"23622","1300","PRIVATE"
"AGC, OH CINCINNATI DIVISION",1660,"OH","CJA -","May 31, 2007","23622","1300","PRIVATE"
"AGC, OH NORTHWEST",1454,"OH","LABORERS  (LIUNA) LOCAL UNION 500","Jun 30, 2007","23622","1000","PRIVATE"
"AGC, OR COLUMBIA CHAPTER",1145,"OR , WA","CJA -","May 31, 2006","23622","1300","PRIVATE"
"AGC, OR COLUMBIA CHAPTER",1166,"OR","IBT -","May 31, 2007","23622","1300","PRIVATE"
"AGC, OREGON COLUMBIA CHAPTER",1144,"OR","CJA RC PACIFIC NORTHWEST","May 31, 2016",,,"PRIVATE"
"AGC, OREGON COLUMBIA CHAPTER",1158,"OR, WA","IUOE -","May 31, 2007","23622","1300","PRIVATE"
"AGC, OREGON COLUMBIA CHAPTER (HVY/HWY BLDG)",1143,"OR EAST","LIUNA -","May 31, 2007","23622","1300","PRIVATE"
"AGC, RI",1356,"RI","CJA -","Jun 7, 2009","23622","1000","PRIVATE"
"AGC, SAN DIEGO",1522,"MO","LABORERS  (LIUNA) LOCAL UNION 89","Jun 30, 2016",,,"PRIVATE"
"AGC, ST LOUIS",1167,"MO","LABORERS  (LIUNA) LOCAL UNION 110/LABORERS  (LIUNA) LOCAL UNION 42","Mar 1, 2009","23622","1300","PRIVATE"
"AGC, ST LOUIS",1379,"MO","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 396","Aug 1, 2007",,,"PRIVATE"
"AGC, ST LOUIS & VICINITY",1359,"MO","LIUNA -","May 5, 2008","23622","3500","PRIVATE"
"AGC, ST LOUIS ERECTORS & BUILDING",1380,"MO","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 396","Aug 1, 2007","23622","1200","PRIVATE"
"AGC, TX HOUSTON CHAPTER CONSTRN EMPL ASN OF TX",1421,"TX","CJA -","Mar 31, 2006","23622","1000","PRIVATE"
"AGC, TX HOUSTON CHAPTER CONSTRN EMPL ASN OF TX",1542,"TX","BSOIW -","Mar 31, 2006","23622","1000","PRIVATE"
"AGC, UTILITY & TRANS. CONSTRC. ASN. & AGC, NY",1628,"NJ","LABORERS  (LIUNA) LOCAL UNION 172/LABORERS  (LIUNA) LOCAL UNION 472","Feb 28, 2007",,,"PRIVATE"
"AGC, WA",1156,"WI","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139","May 31, 2014","23731","2000","PRIVATE"
"AGC, WA",1449,"WA","LIUNA -","May 31, 2015",,,"PRIVATE"
"AGC, WA",1450,"WA","LIUNA -",,,,"PRIVATE"
"AGC, WA",1451,"WA","LABORERS  (LIUNA) DISTRICT COUNCIL 0 WASHINGTON & NORTHERN IDAHO","May 31, 2018","23731","6000","PRIVATE"
"AGC, WA",1845,"WA","OPCM -","May 31, 2015",,,"PRIVATE"
"AGC, WA (HVY-HWY)",1154,"WA","CJA RC- PACIFIC NW","May 31, 2012","23731","6500","PRIVATE"
"AGC, WA (HVY-HWY)",1155,"WA","CJA ","May 31, 2007",,,"PRIVATE"
"AGC, WA (HVY-HWY)",1410,"WA","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 302","May 31, 2010","23731","4000","PRIVATE"
"AGC, WA (HVY-HWY)",1411,"WA","CARPENTERS IND (CJA) LOCAL UNION 302","May 31, 2007",,,"PRIVATE"
"AGC, WA SEATTLE & TACOMA CHAPTERS (HVY CONSTRUCTION)",1186,"WA","TEAMSTERS (IBT) LOCAL UNION 174/TEAMSTERS (IBT) LOCAL UNION 231/TEAMSTERS (IBT) LOCAL UNION 252/TEAMSTERS (IBT) LOCAL UNION 313/TEAMSTERS (IBT) LOCAL UNION 589","May 31, 2018","23731","1000","PRIVATE"
"AGC, WA SEATTLE & TACOMA CHAPTERS (HVY CONSTRUCTION)",1187,"WA","TEAMSTERS (IBT) LOCAL UNION 174/TEAMSTERS (IBT) LOCAL UNION 231/TEAMSTERS (IBT) LOCAL UNION 252/TEAMSTERS (IBT) LOCAL UNION 313/TEAMSTERS (IBT) LOCAL UNION 589","May 31, 2007",,,"PRIVATE"
"AGC, WA SEATTLE & TACOMA CHAPTERS (HVY-HWY)",1452,"WA","LIUNA ","May 31, 2007",,,"PRIVATE"
"AGC, WA SEATTLE & TACOMA CHAPTERS (HVY-HWY)",1453,"WA","LABORERS  (LIUNA) DISTRICT COUNCIL 0 WASHINGTON & NORTHERN IDAHO","May 31, 2012","23731","6000","PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER",1697,"WA","IOUE 370","May 31, 2010","23731","1000","PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER",1698,"WA","TEAMSTERS (IBT) LOCAL UNION 174/TEAMSTERS (IBT) LOCAL UNION 252/TEAMSTERS (IBT) LOCAL UNION 313/TEAMSTERS (IBT) LOCAL UNION 317/TEAMSTERS (IBT) LOCAL UNION 378/TEAMSTERS (IBT) LOCAL UNION 589","May 31, 2007",,,"PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER",1706,"WA","TEAMSTERS (IBT) LOCAL UNION 690",,"23731",,"PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER",1707,"WA","TEAMSTERS (IBT) LOCAL UNION 690",,"23731",,"PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER",1708,"WA","TEAMSTERS (IBT) LOCAL UNION 174/TEAMSTERS (IBT) LOCAL UNION 231/TEAMSTERS (IBT) LOCAL UNION 252/TEAMSTERS (IBT) LOCAL UNION 313/TEAMSTERS (IBT) LOCAL UNION 589","May 31, 2012","23731","3500","PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER",1712,"WA","LABORERS  (LIUNA) LOCAL UNION 238/LABORERS  (LIUNA) LOCAL UNION 348","May 31, 2009","23731","1800","PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER",1713,"WA","LABORERS  (LIUNA) LOCAL UNION 238/LABORERS  (LIUNA) LOCAL UNION 348","Jun 1, 2006",,,"PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER",1714,"WA","LABORERS  (LIUNA) DISTRICT COUNCIL 0 WASHINGTON & NORTHERN IDAHO","May 31, 2012","23731","1800","PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER (HVY-HWY)",1692,"WA","CJA PACIFIC NORTHWEST RC","May 31, 2012","23731","2400","PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER (HVY-HWY)",1690,"WA","CJA NW RC",,"23731","2400","PRIVATE"
"AGC, WA, INLAND NORTHWEST CHAPTER (HVY-HWY)",1691,"WA","CJA -","May 31, 2006","23731","2400","PRIVATE"
"AGC, WI",933,"WI","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139","May 31, 2017","23731","2000","PRIVATE"
"AGC, WI",934,"WI","IUOE ","May 31, 2008",,,"PRIVATE"
"AGC, WI",935,"WI","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139","May 31, 2014","23731","2000","PRIVATE"
"AGC, WI",939,"WI","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139","May 31, 2011","23731","2000","PRIVATE"
"AGC, WI",2223,"WI","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139","May 31, 2017",,,"PRIVATE"
"AGC, WI - MILW & ALLIED CONSTRUCTION EMPLOYRS (AREA 1)",936,"WI","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139","May 31, 2011","23731","2000","PRIVATE"
"AGC, WI - MILW & ALLIED CONSTRUCTION EMPLOYRS (AREA 1)",937,"WI","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139","May 31, 2016","23731","2000","PRIVATE"
"AGC, WI - MILW & ALLIED CONSTRUCTION EMPLOYRS (AREA 1)",938,"WI","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139","May 31, 2006",,,"PRIVATE"
"AGC, WI,",1428,"WI","CJA -","May 31, 2008","23622","1000","PRIVATE"
"AGC, WI, - GREATER MILWAUKEE & ALLIED CONSTRUCTION EMPLOYERS ASSOCIATION",1366,"WI","CJA -","May 31, 2004","23622","1000","PRIVATE"
"AGC,OH",1079,"OH","LABORERS 265","May 31, 2007",,,"PRIVATE"
"AGENCE FRANCE-PRESSE",2194,"DC","WBNG 32035","Dec 31, 2016",,,"PRIVATE"
"AI FLINT /GENESEE LLC",1942,"MI","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 659","Jul 1, 2010","336111","3163","PRIVATE"
"AIMBRIDGE EMPLOYEE SERVICE CORP FOR HYATT REGENCY",1131,"IL","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 399","Feb 29, 2020",,"9","PRIVATE"
"AIMBRIDGE EMPLOYEE SERVICE CORP.",2452,"FL","UNITE HERE  737","Jan 24, 2021",,,"PRIVATE"
"AIR CONDITIONING, REFRIGERATION, HEATING, AND PIPING ASSOCIATION, INC. DBA THE MECHANICAL CONTRACTORS ASSOCIATION",1471,"FL","UNITED ASSOCIATION  725","Jul 15, 2022",,,"PRIVATE"
"AIRCONDITIONING, REFRIGERATION AND MECHANICAL CONTRACTORS ASSOCIATION",1414,"CA NORTHERN","PPF -","Aug 31, 2006","23621","1000","PRIVATE"
"AIRCRAFT & MISSILES SYSTEM",2083,"MO, ST. LOUIS","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 837","May 23, 2004","323822","1000","PRIVATE"
"AIRCRAFT & MISSILES SYSTEMS (THE BOEING COMPANY)",324,"MO","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 837","May 23, 2004",,,"PRIVATE"
"AIRO DIE CASTING, INC.",1482,"PA","FACTORY WORKERS  1357","May 15, 2019",,,"PRIVATE"
"AIRPORT CONCESSIONS, LLC DBA VILLAGE PUB AND GRILL",2397,"NV","CULINARY WORKERS UNION/BARTENDERS UNION  226/165","May 31, 2021",,,"PRIVATE"
"AIRWAY MECHANIC AND RELATED EMPLOYEE ASSOCIATION",2082,"DC","TWU/IAM -",,"323822","1000","PRIVATE"
"AJW TECHNIQUE, INC.",2088,"FL","MACHINISTS AFL-CIO (IAM) LODGE 140","Jan 14, 2018","23731","1000","PRIVATE"
"AK STEEL",2084,"MO, ST. LOUIS","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 837","May 23, 2004","323822","1000","PRIVATE"
"AK STEEL CORPORATION",194,"PA","BUTLER ARMCO INDEPENDENT UNION  -","Sep 30, 2006",,,"PRIVATE"
"AK STEEL CORPORATION",195,"KY","USW -","Sep 1, 2005","23731","3000","PRIVATE"
"AK STEEL CORPORATION",1415,"PA","- -","Sep 30, 2006","23731","3000","PRIVATE"
"AKIMA TECHNICAL SOLUTIONS, LLC",2089,"MD","MACHINISTS AFL-CIO (IAM) LOCAL LODGE 4","Sep 30, 2017","336411","1000","PRIVATE"
"AKRON- CANTON FOOD INDUSTRY COMMITTEE (CLERKS)",690,"OH","UFCW -","Sep 11, 2005","23731","3000","PRIVATE"
"ALABAMA POWER CO.",454,"AL","IBEW VARIOUS LOCALS","Aug 14, 2004","221122","1500","PRIVATE"
"ALABAMA POWER CO.",533,"AL","IBEW VARIOUS LOCALS","Aug 15, 2004","22111","1000","PRIVATE"
"ALABAMA POWER CO. (DISTRIBUTION)",452,"AL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904","Aug 15, 2009","221122","1500","PRIVATE"
"ALABAMA POWER CO. (DISTRIBUTION)",453,"AL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904","Aug 15, 2019","221122","1500","PRIVATE"
"ALABAMA POWER CO. (DISTRIBUTION)",534,"AL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904","Aug 15, 2014","22111","1100","PRIVATE"
"ALABAMA POWER CO. (GENERATION)",455,"AL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904","Aug 15, 2014","22111","1100","PRIVATE"
"ALABAMA POWER CO. (GENERATION)",531,"AL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904","Aug 15, 2009","22111","1100","PRIVATE"
"ALABAMA POWER CO. (GENERATION)",532,"AL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904","Aug 15, 2019","22111","1100","PRIVATE"
"ALABAMA POWER CO. (POWER)S",1772,"AL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904","Aug 15, 2019","221122","1500","PRIVATE"
"ALABAMA POWER CO. (POWER)S",1773,"AL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904","Aug 15, 2014","22111","1100","PRIVATE"
"ALASKA AIRLINES, INC.",2077,"ALASKA","IAM -","Dec 31, 2018","48111","1000","PRIVATE"
"ALBERTSON'S INCORPORATED",662,"CA","UFCW ","Sep 11, 2004","445110","2000","PRIVATE"
"ALBERTSON'S INCORPORATED (GROCERY CLERKS)",679,"CO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Sep 14, 2013","445110","2000","PRIVATE"
"ALBERTSON'S LLC",2011,"CO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R",,"445110","2000","PRIVATE"
"ALBERTSON'S LLC (COLORADO SPRINGS - CLERK AGREEMENT)",2009,"CO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Sep 14, 2013","445110","2000","PRIVATE"
